time,node0,node1
5222,0.053363,0.053962
5223,0.052571,0.05429
5224,0.052434,0.053912
5225,0.051916,0.054284
5226,0.053329,0.055088
5227,0.051934,0.054801
5228,0.052289,0.053805
5229,0.052669,0.054323
5230,0.053064,0.053833
5231,0.05325,0.054144
5232,0.052012,0.053436
5233,0.052168,0.053773
5234,0.052089,0.054176
5235,0.051705,0.053924
5236,0.051114,0.054661
5237,0.052,0.054493
5238,0.051282,0.053769
5239,0.053392,0.05365
5240,0.051244,0.053126
5241,0.051222,0.052793
5242,0.0521,0.052587
5243,0.051487,0.053518
5244,0.051119,0.053302
5245,0.052313,0.053407
5246,0.051315,0.05415
5247,0.050953,0.05337
5248,0.051818,0.05305
5249,0.051273,0.053534
5250,0.051992,0.052977
5251,0.051726,0.052672
5252,0.053678,0.053004
5253,0.052844,0.05293
5254,0.053194,0.052808
5255,0.053254,0.05333
5256,0.05088,0.053123
5257,0.051046,0.052913
5258,0.051147,0.053088
5259,0.050831,0.053215
5260,0.051293,0.0531
5261,0.051716,0.053356
5262,0.051961,0.053271
5263,0.050505,0.053499
5264,0.051377,0.053031
5265,0.051595,0.053247
5266,0.051148,0.053046
5267,0.051752,0.052957
5268,0.053021,0.052632
5269,0.05207,0.052376
5270,0.051146,0.053138
5271,0.051862,0.052942
5272,0.051425,0.052837
5273,0.050928,0.052405
5274,0.051317,0.05305
5275,0.051058,0.053177
5276,0.051628,0.053268
5277,0.050964,0.053605
5278,0.050856,0.053321
5279,0.051117,0.053279
5280,0.051704,0.053444
5281,0.05176,0.053169
5282,0.052162,0.053142
5283,0.052027,0.053217
5284,0.051577,0.053286
5285,0.051544,0.05292
5286,0.052779,0.052893
5287,0.051546,0.053469
5288,0.051717,0.053234
5289,0.051686,0.053152
5290,0.051648,0.053388
5291,0.05202,0.053875
5292,0.052241,0.05308
5293,0.052032,0.053817
5294,0.052314,0.053285
5295,0.052122,0.053378
5296,0.052615,0.053403
5297,0.052227,0.053424
5298,0.052094,0.053064
5299,0.051857,0.053823
5300,0.051391,0.053556
5301,0.051048,0.053256
5302,0.051544,0.053818
5303,0.051511,0.053519
5304,0.051553,0.053498
5305,0.052079,0.053328
5306,0.051447,0.053389
5307,0.052941,0.053902
5308,0.051741,0.053366
5309,0.051639,0.053613
5310,0.051911,0.052808
5311,0.052046,0.052664
5312,0.051877,0.052741
5313,0.051236,0.053448
5314,0.0527,0.055965
5315,0.050763,0.054992
5316,0.050753,0.054151
5317,0.05121,0.052807
5318,0.050973,0.052956
5319,0.05172,0.052949
5320,0.051327,0.053271
5321,0.050804,0.052579
5322,0.051037,0.052783
5323,0.051564,0.052482
5324,0.052501,0.052638
5325,0.052166,0.052561
5326,0.051044,0.052508
5327,0.05155,0.0525
5328,0.051017,0.053679
5329,0.050531,0.052378
5330,0.05101,0.052557
5331,0.051001,0.052912
5332,0.051429,0.052559
5333,0.051102,0.05214
5334,0.05081,0.053065
5335,0.050728,0.05299
5336,0.050629,0.05318
5337,0.050695,0.053307
5338,0.052875,0.056425
5339,0.049745,0.053743
5340,0.049867,0.05336
5341,0.049459,0.052998
5342,0.050641,0.053266
5343,0.049603,0.053295
5344,0.050381,0.052786
5345,0.050392,0.053544
5346,0.050214,0.053681
5347,0.049776,0.053654
5348,0.050376,0.053388
5349,0.050678,0.053324
5350,0.049614,0.053022
5351,0.049847,0.05319
5352,0.050179,0.052444
5353,0.049999,0.053353
5354,0.049926,0.052702
5355,0.050013,0.052597
5356,0.050229,0.052399
5357,0.049965,0.053273
5358,0.050113,0.05296
5359,0.050406,0.053565
5360,0.050211,0.053431
5361,0.050193,0.053483
5362,0.049971,0.05315
5363,0.05016,0.052999
5364,0.050383,0.052443
5365,0.050917,0.052526
5366,0.051177,0.05297
5367,0.050606,0.053159
5368,0.050296,0.053413
5369,0.051107,0.053381
5370,0.051276,0.05308
5371,0.050842,0.052824
5372,0.050616,0.05345
5373,0.050486,0.053447
5374,0.05039,0.053633
5375,0.050208,0.05349
5376,0.049881,0.053432
5377,0.050106,0.053415
5378,0.050452,0.053657
5379,0.049969,0.053643
5380,0.050252,0.053543
5381,0.051512,0.053467
5382,0.050476,0.053718
5383,0.050595,0.053603
5384,0.051584,0.053841
5385,0.051083,0.053478
5386,0.050376,0.053531
5387,0.050483,0.053302
5388,0.050417,0.053323
5389,0.050242,0.05321
5390,0.049693,0.053703
5391,0.050463,0.053249
5392,0.050195,0.053551
5393,0.050207,0.052943
5394,0.050278,0.053447
5395,0.050102,0.053269
5396,0.049884,0.052999
5397,0.049956,0.053495
5398,0.050148,0.053137
5399,0.049928,0.052744
5400,0.0497,0.05353
5401,0.049855,0.052977
5402,0.050104,0.053259
5403,0.051246,0.053256
5404,0.050635,0.053657
5405,0.050807,0.05323
5406,0.050471,0.052791
5407,0.050865,0.05337
5408,0.050256,0.052851
5409,0.050356,0.053006
5410,0.050482,0.052734
5411,0.051132,0.053003
5412,0.049946,0.052823
5413,0.050131,0.053748
5414,0.050742,0.053607
5415,0.050337,0.053452
5416,0.050359,0.05406
5417,0.050725,0.053097
5418,0.050387,0.053829
5419,0.050877,0.053635
5420,0.050434,0.053367
5421,0.050609,0.052995
5422,0.0504,0.053996
5423,0.050564,0.053708
5424,0.050284,0.053687
5425,0.050988,0.05368
5426,0.050938,0.053649
5427,0.050619,0.053272
5428,0.050893,0.053831
5429,0.050977,0.053584
5430,0.05071,0.053604
5431,0.050497,0.05335
5432,0.050519,0.053331
5433,0.050108,0.053714
5434,0.050712,0.052712
5435,0.050813,0.053019
5436,0.05127,0.053461
5437,0.050675,0.053319
5438,0.050652,0.05335
5439,0.051263,0.053381
5440,0.051535,0.053097
5441,0.05119,0.053176
5442,0.051061,0.053437
5443,0.051044,0.0531
5444,0.050844,0.052506
5445,0.05102,0.052098
5446,0.052364,0.052907
5447,0.052007,0.052522
5448,0.051191,0.05251
5449,0.051285,0.052047
5450,0.051129,0.051586
5451,0.051313,0.0517
5452,0.044569,0.060297
5453,0.044198,0.060333
5454,0.04366,0.059595
5455,0.043734,0.059817
5456,0.04552,0.062041
5457,0.047506,0.06531
5458,0.047771,0.066144
5459,0.043797,0.060885
5460,0.044083,0.059618
5461,0.04379,0.059667
5462,0.044591,0.060925
5463,0.043706,0.059793
5464,0.043599,0.059553
5465,0.043522,0.05949
5466,0.043349,0.059994
5467,0.043349,0.06006
5468,0.043652,0.059546
5469,0.043803,0.060245
5470,0.043667,0.059748
5471,0.043838,0.059968
5472,0.044005,0.059811
5473,0.043755,0.060555
5474,0.043857,0.05999
5475,0.04393,0.060147
5476,0.043786,0.060229
5477,0.043368,0.059673
5478,0.043409,0.059853
5479,0.04375,0.059806
5480,0.043456,0.060044
5481,0.043422,0.059885
5482,0.043281,0.060466
5483,0.043849,0.060492
5484,0.043357,0.060786
5485,0.043109,0.060908
5486,0.043631,0.060827
5487,0.043119,0.060993
5488,0.043155,0.060479
5489,0.043402,0.060562
5490,0.043508,0.060023
5491,0.051258,0.051954
5492,0.051289,0.051933
5493,0.051521,0.05213
5494,0.051362,0.051676
5495,0.051417,0.051883
5496,0.051163,0.052617
5497,0.051488,0.052384
5498,0.050837,0.052461
5499,0.050913,0.052994
5500,0.05063,0.052485
5501,0.050594,0.053067
5502,0.050397,0.052867
5503,0.05077,0.052875
5504,0.051214,0.053249
5505,0.050751,0.052851
5506,0.050789,0.052793
5507,0.050435,0.052854
5508,0.050697,0.052863
5509,0.0503,0.053249
5510,0.051491,0.053024
5511,0.051159,0.052667
5512,0.050551,0.052365
5513,0.050211,0.052504
5514,0.050494,0.053261
5515,0.050235,0.05255
5516,0.050261,0.052327
5517,0.050429,0.05236
5518,0.050784,0.053182
5519,0.050444,0.052701
5520,0.050746,0.052647
5521,0.050539,0.053167
5522,0.050584,0.053063
5523,0.050686,0.052891
5524,0.050469,0.052914
5525,0.050379,0.053496
5526,0.050897,0.052831
5527,0.05101,0.052723
5528,0.05076,0.053752
5529,0.050535,0.052887
5530,0.051261,0.054231
5531,0.051664,0.054951
5532,0.050947,0.054066
5533,0.051286,0.053018
5534,0.050478,0.052984
5535,0.050591,0.05279
5536,0.050985,0.052779
5537,0.050646,0.052312
5538,0.050869,0.05219
5539,0.050957,0.051612
5540,0.0508,0.052087
5541,0.050713,0.052287
5542,0.052447,0.052049
5543,0.051279,0.052762
5544,0.051085,0.052718
5545,0.051442,0.05269
5546,0.051007,0.053184
5547,0.051115,0.052501
